sigla;iata;nombre;municipio;departamento;categoria;latitud;longitud;propietario;explotador;longitud_pista;ancho_pista;pbmo;orientacion;elevacion;resolucion;fecha_construccion;fecha_vigencia;clase;tipo;numero_vuelos_origen;gcd_departamental;gcd_municipal,,,
4JC;NA;JUANCHACO;Buenaventura;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24;76;76109,,,
7FO;NA;LA ISLA;Puerto Gaitán;Meta;Aeródromo;4.4211;-71.6271;LA ISLA Y EL ROSARIO S.A.;LA CEIBA S.A.;800;10;3000;04 | 23;538;1325;05/06/2015;11/06/2018;1A;Privado;2;50;50568,,,
7FU;NA;LA ESCONDIDA;Puerto Gaitán;Meta;Aeródromo;4.6108;-71.1935;PALMAS SICARARE S.A.S.;COSARGO S.A.S.;1300;18;5000;05 | 23;564;1843;26/04/2013;07/05/2016;1A;Fumigación;30;50;50568,,,
7FW;NA;MORICHITO;Hato Corozal;Casanare;Aeródromo;5.9188;-71.7932;CARMEN NARANJO;ROBERTO C. RIAÑO P.;800;15;3500;07 | 25;720;2220;07/05/2009;41083;1A;Privado;NA;85;85125,,,
7FX;NA;CAROLINA DEL PRINCIPE;Carolina;Antioquia;Aeródromo;6.7248;-75.2909;MUNICIPIO;MUNICIPIO;400;16;1000;05 | 23;6004;6470;19/11/2013;NA;1A;Público;NA;5;5150,,,
7FY;NA;DUBAI;Ayapel;Córdoba;Aeródromo;8.296;-75.0307;ANDRES D. LONDOÑO T.;ANDRES D. LONDOÑO T.;350;10;500;18 | 36;82;1212;20/03/2013;42455;1A;Privado;NA;23;23068,,,
7FZ;NA;EL TRIUNFO;Orocué;Casanare;Aeródromo;4.8095;-71.667;ERNESTO J. PEREZ VILLAMIZAR;EL MISMO;880;15;3000;07 | 25;475;5532;11/11/2014;43066;1A;Privado;2;85;85230,,,
7GA;NA;BARU - HIDROPUERTO;Cartagena de Indias;Bolívar;Aeródromo;10.2321;-75.5877;MAURICIO E. VASQUEZ M.;EL MISMO;450;20;500;17 | 35;0;6067;25/10/2012;07/11/2015;1A;Privado;NA;13;13001,,,
7GB;NA;LA CAROLINA;El Paso;Cesar;Aeródromo;9.528;-73.7866;JORGE AGUDELO RESTREPO;JORGE AGUDELO REST.;350;10;500;15 | 33;690;5474;06/10/2009;41210;UL;Privado;NA;20;20250,,,
7GC;NA;SAN FELIPE DEL PAUTO;Trinidad;Casanare;Aeródromo;5.2032;-70.8951;AGRAS S.A.S;AGRAS S.A.S;720;10;3000;04 | 22;3125;4505;16/08/2012;42264;1A;Privado;153;85;85430,,,
7GD;NA;VELASQUEZ;Puerto Boyacá;Boyacá;Aeródromo;5.9482;-74.4575;FAC;MANSAROVAR;1500;18;10000;16 | 34;617;2135;16/05/2013;42514;3C;Privado;2325;15;15572,,,
7GE;NA;LUCITANIA;Orocué;Casanare;Aeródromo;4.6954;-71.589;AGROPECUARIA CRAVO SUR;AGROPECUARIA CRAVO SUR;650;18;3000;05 | 23;443;1051;28/02/2014;03/03/2017;1A;Privado;NA;85;85230,,,
7GF;NA;LA UNION;Paz de Ariporo;Casanare;Aeródromo;5.6283;-70.7032;MARTHA Y. VARGAS DE R.;GEOPARK CUERVA;640;18;3500;06 | 24;335;2136;16/05/2013;42511;1A;Privado;1122;85;85250,,,
7GG;NA;LA ILUSION;Maní;Casanare;Aeródromo;4.5805;-72.4282;SIGRA S.A.;SIGRA S.A.;890;18;3500;05 | 23;574;1944;03/05/2013;10/05/2016;1A;Privado;2;85;85139,,,
7GH;NA;LA VENTUROSA;Puerto Carreño;Vichada;Aeródromo;6.1391;-68.7779;MUNICIPIO;GOBERNACION;1000;12;9500;05 | 23;246;6782;05/12/2013;NA;1A;Público;54;99;99001,,,
7GI;NA;GUAYABAL DEL CRAVO;Orocué;Casanare;Aeródromo;4.7223;-71.5943;KLAUS PUTH ARANGUREN;KLAUS PUTH ARANGUREN;750;12;2500;06 | 24;442;3710;24/07/2013;01/08/2016;1A;Privado;1;85;85230,,,
7GK;NA;LAS VIOLETAS- CA;Castilla la Nueva;Meta;Aeródromo;3.8519;-73.7286;FRANCELINA CADENA;AEROCLUB DEL META;350;10;500;04 | 22;609;4132;19/08/2010;41533;UL;Privado;NA;50;50150,,,
7GL;NA;LA JAGUA;La Jagua de Ibirico;Cesar;Aeródromo;9.5905;-73.2886;CARBONES DE LA JAGUA S.A.;CARBO. DE LA JAGUA S.A.;1200;18;7500;05 | 23;787;171;27/01/2015;06/02/2018;2A;Privado;1070;20;20400,,,
7GN;NA;LOS MANGOS;Ayapel;Córdoba;Aeródromo;8.2956;-75.0987;MANUEL LOPEZ ORTEGA;MANUEL LOPEZ ORTEGA;200;10;500;17 | 35;90;5190;24/09/2013;42660;UL;Privado;NA;23;23068,,,
7GO;NA;MATABRAVA;San Luis de Palenque;Casanare;Aeródromo;5.2132;-71.6915;FRANCISCA REYES DIAZ;FRANCISCA REYES DIAZ;600;10;2000;02 | 20;524;5966;15/12/2014;43087;1A;Privado;1;85;85325,,,
7GP;NA;EL PORVENIR - CA;Pijiño del Carmen;Magdalena;Aeródromo;9.491;-74.1909;LA CEIBA S.A.;LA CEIBA S.A.;300;10;500;18 | 36;176;236;21/01/2014;42781;UL;Privado;NA;47;47545,,,
7GQ;NA;LA PROVINCIA;Paz de Ariporo;Casanare;Aeródromo;5.6918;-70.11;CARLOS H. MONTENEGRO;CARLOS H. MONTENEGRO;670;15;2500;02 | 20;430;399;31/01/2014;42790;1A;Privado;NA;85;85250,,,
7GS;NA;EL ENCANTO;Cumaribo;Vichada;Aeródromo;4.6934;-70.9078;JUAN AQUILINO PEREZ P.;EL ENCANTO 1 S.A.S.;1200;20;5000;03 | 21;544;5964;15/12/2014;43092;1A;Fumigación;376;99;99773,,,
